20170228;421
CD_ENTITY;DT_PERIOD;CD_TEAM;CD_INDIVIDUAL;CD_CLIENT;CD_FACTTYPE;CD_TYPEMDT;CD_PRODUCT;AM_AMOUNT;CCY;MICA_NODE;CATEGORY;UNIT_TYPE;CD_LEVEL;ROLE
600;20170228;FR00894;;;COST;CH10150;PR04060550;-44.06882;EUR;MP10153020005;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-43.91426;EUR;MP10153020005;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-37.53501;EUR;MP10150020603;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-36.52468;EUR;MP10150030402;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-36.31234;EUR;MP10150030402;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-36.22121;EUR;MP10150030505;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-34.01;EUR;MP10150010701;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-33.58863;EUR;MP10150030505;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-33.58863;EUR;MP10150030505;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-31.21234;EUR;MP10150030402;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-30.95605;EUR;MP10150030505;Actual;;;0
600;20170228;FR11890;;;COST;CH10150;PR04060550;-29.92;EUR;MP10150020502;Actual;;;0
600;20170228;FR38890;;;COST;CH10150;PR04060550;-29.71851;EUR;MP10150030402;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-27.83329;EUR;MP10150030513;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-27.47088;EUR;MP10150030505;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-26.97234;EUR;MP10150030402;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-26.26893;EUR;MP10150020603;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-25.86653;EUR;MP10150050002;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-24.40055;EUR;MP10150020603;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-24.40055;EUR;MP10150020603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-23.45948;EUR;MP10150030513;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-22.88401;EUR;MP10153020005;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-22.66425;EUR;MP10150030513;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-22.53216;EUR;MP10150020603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-22.3764;EUR;MP10150030402;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-21.19233;EUR;MP10153020005;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-20.07617;EUR;MP10150030402;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-19.88092;EUR;MP10150030513;Actual;;;0
